subject_id,subject_name
2,Literasi Bahasa Inggris
3,Penalaran Matematika 
4,Penalaran Umum
5,Pemahaman Bacaan & Menulis
7,Kimia
8,Biologi
9,Matematik Terapan
10,Geografi
11,Sosiologi
12,Sejarah
13,Ekonomi
14,Pengetahuan & Pemahaman Umum
15,Pengetahuan Kuantitatif
16,Matematika Sains
17,Literasi
18,Penalaran Matematika
19,Penalaran Induktif
20,Penalaran Deduktif
21,Penalaran Kuantitatif
