user_id,subject_id
13865868,14
13865868,14
13865868,14
13865868,14
13865868,12
13865868,12
13865868,12
13865868,12
2,73
2,79
2,81
2,88
13649083,101
13649083,100
205,126
13649086,120
13649086,124
13649086,125
13649086,126
10709919,131
10709919,133
10709919,130
10709919,134
13865875,77
13865875,69
13865875,65
13865875,67
13865821,94
13865821,88
13865821,69
13865821,67
13865862,90
13865862,75
13865862,71
13865862,67
13649084,115
13649084,114
13649084,118
13649084,112
13649032,23
13649032,21
13649032,19
13649032,27
13649035,25
13649035,25
13649035,20
13649035,22
12748793,61
12748793,64
12748793,72
12748793,68
151,27
151,19
151,21
151,23
13478806,96
13478806,95
13478806,93
13584562,132
298,118
298,113
298,114
298,111
13584596,133
13584596,132
13584596,134
13584596,131
13865859,79
13865859,81
13865859,83
13865859,85
13865865,83
13865865,81
13865865,79
13865865,90
13865821,20
13865821,24
13865821,25
13865821,12
13865825,69
13865825,65
13865825,67
13865825,94
13865830,22
13865830,10
13865830,2
13865830,8
13865821,50
13865821,33
13865821,52
13865821,56
13865843,85
13865843,73
13865843,81
13865843,86
13865840,85
13865840,79
13865840,86
13865840,81
13865831,129
13865831,127
13865831,131
13865831,130
213420,2232
13698019,116
13865868,28
13865868,28
13865868,28
13865868,28
13865868,26
13865868,26
13865868,26
13865868,26
13926780,126
13926780,122
13926780,121
13926780,124
13415861,122
13415861,123
13415861,125
13415861,126
13569103,120
13569103,121
13569103,126
13569103,123
13478806,80
13584562,131
13584562,130
13180753,64
13180753,61
13803375,18
13803375,25
13649083,102
205,122
205,121
13649083,103
205,125
13180753,78
13180753,62
13382312,80
13382312,96
13382312,95
13382312,93
13649030,13
13649030,17
13180742,22
13180742,24
235,33
235,63
13698019,111
13698019,118
134,7
134,5
134,3
134,9
13180742,8
13180742,14
13563693,123
13563693,125
13563693,122
13563693,124
13562045,54
13562045,56
13562045,46
13562045,50
13568745,125
13568745,124
13568745,123
13568745,121
13144674,79
13144674,73
13144674,65
13144674,71
12749007,64
12749007,62
12749007,76
13366427,85
13366427,79
13366427,73
5978,79
5978,83
5978,81
5978,86
13714914,118
13714914,115
13714914,113
13714914,114
13785202,134
13785202,129
13785202,132
13785202,127
13803375,22
13803375,20
13567199,118
13567199,115
13567199,113
13567199,117
12749281,122
12749281,121
12749281,125
12749281,126
12749249,18
